"county","state","income","age"
"Dent County","Missouri","36311","43.2"
"Douglas County","Missouri","32130","45.8"
"Dunklin County","Missouri","31304","39.8"
"Franklin County","Missouri","48857","39.6"
"Gasconade County","Missouri","41392","45.6"
"Gentry County","Missouri","39192","41.6"
"Greene County","Missouri","40337","35.6"
"Grundy County","Missouri","37964","42.3"
"Harrison County","Missouri","37739","43"
"Henry County","Missouri","39839","44"
"Hickory County","Missouri","29325","53.3"
"Holt County","Missouri","42979","46.5"
"Howard County","Missouri","42747","39.4"
"Howell County","Missouri","32533","39.6"
"Iron County","Missouri","36387","43.1"
"Jackson County","Missouri","47015","36.3"
"Jasper County","Missouri","40399","35.2"
"Jefferson County","Missouri","54845","38.1"
"Johnson County","Missouri","47223","29.4"
"Knox County","Missouri","34481","43.8"
"Laclede County","Missouri","39013","39.1"
"Lafayette County","Missouri","50527","40.7"
"Lawrence County","Missouri","39334","39.7"
"Lewis County","Missouri","42071","38.8"
"Lincoln County","Missouri","52835","35.9"
"Linn County","Missouri","38250","42.9"
"Livingston County","Missouri","40116","41.5"
"McDonald County","Missouri","37997","36.7"
"Macon County","Missouri","38443","42.5"
"Madison County","Missouri","35870","41.2"
"Maries County","Missouri","42566","43.4"
"Marion County","Missouri","42046","39.5"
"Mercer County","Missouri","40272","43.8"
"Miller County","Missouri","35507","40.6"
"Mississippi County","Missouri","29787","39.3"
"Moniteau County","Missouri","47118","37.8"
"Monroe County","Missouri","40657","44.3"
"Montgomery County","Missouri","40236","43.1"
"Morgan County","Missouri","34797","46.9"
"New Madrid County","Missouri","35793","40.6"
"Newton County","Missouri","42268","39.3"
"Nodaway County","Missouri","36641","28.3"
"Oregon County","Missouri","27743","45.2"
"Osage County","Missouri","51408","39.8"
"Ozark County","Missouri","32078","50"
"Pemiscot County","Missouri","28889","37.4"
"Perry County","Missouri","47876","39.8"
"Pettis County","Missouri","38580","37.6"
"Phelps County","Missouri","41964","33.8"
"Pike County","Missouri","39850","40.1"
"Platte County","Missouri","67721","38.2"
"Polk County","Missouri","39512","38.5"
"Pulaski County","Missouri","49820","26.9"
"Putnam County","Missouri","36713","45.2"
"Ralls County","Missouri","47969","44.4"
"Randolph County","Missouri","37203","38"
"Ray County","Missouri","52698","40.6"
"Reynolds County","Missouri","34496","46"
"Ripley County","Missouri","32291","42.1"
"St. Charles County","Missouri","71077","37.1"
"St. Clair County","Missouri","31539","49"
"Ste. Genevieve County","Missouri","48433","42.8"
"St. Francois County","Missouri","37238","38.7"
"St. Louis County","Missouri","58910","40"
"Saline County","Missouri","39519","38"
"Schuyler County","Missouri","34688","41.1"
"Scotland County","Missouri","39028","39.2"
"Scott County","Missouri","40651","39.5"
"Shannon County","Missouri","31132","43.3"
"Shelby County","Missouri","35938","42.9"
"Stoddard County","Missouri","37965","41.9"
"Stone County","Missouri","40850","50.4"
"Sullivan County","Missouri","36676","41"
"Taney County","Missouri","38461","41.2"
"Texas County","Missouri","36082","42.2"
"Vernon County","Missouri","38679","40.8"
"Warren County","Missouri","50830","40.1"
"Washington County","Missouri","34702","40.2"
"Wayne County","Missouri","33159","46.4"
"Webster County","Missouri","44596","37.8"
"Worth County","Missouri","39348","47.8"
"Wright County","Missouri","28645","40.5"
"St. Louis city","Missouri","34582","34.2"
"Beaverhead County","Montana","41614","43.2"
"Big Horn County","Montana","39966","29.6"
"Blaine County","Montana","37151","34.9"
"Broadwater County","Montana","45932","45.5"
"Carbon County","Montana","47831","48.7"
"Carter County","Montana","39659","50.8"
"Cascade County","Montana","44963","38.8"
"Chouteau County","Montana","40070","41.3"
"Custer County","Montana","43524","41.4"
"Daniels County","Montana","46100","50.3"
"Dawson County","Montana","50405","42.3"
"Deer Lodge County","Montana","38958","45.8"
"Fallon County","Montana","51164","39"
"Fergus County","Montana","38344","48.4"
"Flathead County","Montana","46581","41.7"
"Gallatin County","Montana","52833","32.8"
"Garfield County","Montana","45096","45.3"
"Glacier County","Montana","33519","31"
"Golden Valley County","Montana","39313","54.2"
"Granite County","Montana","45236","53"
"Hill County","Montana","43726","34.7"
"Jefferson County","Montana","60863","47.3"
"Judith Basin County","Montana","41932","50.1"
"Lake County","Montana","38019","41.2"
"Lewis and Clark County","Montana","56243","40.8"
"Liberty County","Montana","44493","48.9"
"Lincoln County","Montana","33333","49.8"
"McCone County","Montana","46667","49.2"
"Madison County","Montana","47762","50.5"
"Meagher County","Montana","38182","44.4"
"Mineral County","Montana","33033","51"
"Missoula County","Montana","46117","34.3"
"Musselshell County","Montana","43409","48.2"
"Park County","Montana","42426","46"
"Petroleum County","Montana","41705","48.2"
"Phillips County","Montana","42632","48.4"
"Pondera County","Montana","41277","42.9"
"Powder River County","Montana","46250","50.1"
"Powell County","Montana","40802","45.6"
"Prairie County","Montana","38036","55.4"
"Ravalli County","Montana","38688","46.4"
"Richland County","Montana","58112","39.4"
"Roosevelt County","Montana","36920","30.5"
"Rosebud County","Montana","48789","36.6"
"Sanders County","Montana","32881","50.5"
"Sheridan County","Montana","48667","48.7"
"Silver Bow County","Montana","38659","41.6"
"Stillwater County","Montana","57906","47"
"Sweet Grass County","Montana","45938","44.7"
"Teton County","Montana","43327","45.3"
"Toole County","Montana","46972","42.3"
"Treasure County","Montana","37105","51.9"
"Valley County","Montana","47181","45.9"
"Wheatland County","Montana","31867","48.7"
"Wibaux County","Montana","41875","49.7"
"Yellowstone County","Montana","51342","38.3"
"Adams County","Nebraska","49440","38"
"Antelope County","Nebraska","43518","46.5"
"Arthur County","Nebraska","40568","37.5"
"Banner County","Nebraska","36875","49.2"
"Blaine County","Nebraska","42917","41"
"Boone County","Nebraska","45246","45.9"
"Box Butte County","Nebraska","46373","40.6"
"Boyd County","Nebraska","41279","51.9"
"Brown County","Nebraska","33647","46.7"
"Buffalo County","Nebraska","50963","32.3"
"Burt County","Nebraska","46817","47.3"
"Butler County","Nebraska","50247","44.4"
"Cass County","Nebraska","64697","41.5"
"Cedar County","Nebraska","48038","44.6"
"Chase County","Nebraska","45610","43.3"
"Cherry County","Nebraska","45464","45.1"
"Cheyenne County","Nebraska","51529","39.9"
"Clay County","Nebraska","46784","43.7"
"Colfax County","Nebraska","51765","34.8"
"Cuming County","Nebraska","47500","43.5"
"Custer County","Nebraska","44873","44.8"
"Dakota County","Nebraska","47069","32.6"
"Dawes County","Nebraska","40359","34.7"
"Dawson County","Nebraska","46078","36.7"
"Deuel County","Nebraska","44922","49"
"Dixon County","Nebraska","47325","41"
"Dodge County","Nebraska","48626","40.1"
"Douglas County","Nebraska","53325","33.7"
"Dundy County","Nebraska","47431","47.8"
"Fillmore County","Nebraska","48464","46.4"
"Franklin County","Nebraska","43011","49.2"
"Frontier County","Nebraska","50227","45"
"Furnas County","Nebraska","39603","47"
"Gage County","Nebraska","47654","43.9"
"Garden County","Nebraska","39400","53.1"
"Garfield County","Nebraska","41892","50.5"
"Gosper County","Nebraska","45893","45.3"
"Grant County","Nebraska","44167","47.1"
"Greeley County","Nebraska","44950","46.3"
"Hall County","Nebraska","48712","35.7"
"Hamilton County","Nebraska","56065","42.9"
"Harlan County","Nebraska","45920","50"
"Hayes County","Nebraska","49125","45.8"
"Hitchcock County","Nebraska","39702","49.1"
"Holt County","Nebraska","44427","45.8"
"Hooker County","Nebraska","39327","51.1"
"Howard County","Nebraska","49088","43.2"
"Jefferson County","Nebraska","44843","46.6"
"Johnson County","Nebraska","42364","44.2"
"Kearney County","Nebraska","56466","41"
"Keith County","Nebraska","41970","48.5"
"Keya Paha County","Nebraska","36923","53.3"
"Kimball County","Nebraska","42180","45.8"
"Knox County","Nebraska","42230","47"
"Lancaster County","Nebraska","51574","32.7"
"Lincoln County","Nebraska","48158","39.1"
"Logan County","Nebraska","44417","47.4"
"Loup County","Nebraska","38125","45.7"
"McPherson County","Nebraska","54926","43.7"
"Madison County","Nebraska","46566","37"
"Merrick County","Nebraska","50859","42.9"
"Morrill County","Nebraska","43886","43.6"
"Nance County","Nebraska","44286","45.4"
"Nemaha County","Nebraska","42672","40.9"
"Nuckolls County","Nebraska","37594","49.7"
"Otoe County","Nebraska","50881","42.1"
"Pawnee County","Nebraska","37321","49.4"
"Perkins County","Nebraska","58625","45.1"
"Phelps County","Nebraska","50000","43.3"
"Pierce County","Nebraska","51924","41.9"
"Platte County","Nebraska","51213","38.7"
"Polk County","Nebraska","52848","45.7"
"Red Willow County","Nebraska","42345","42.4"
"Richardson County","Nebraska","38582","46.7"
"Rock County","Nebraska","43500","49.7"
"Saline County","Nebraska","44109","35.6"
"Sarpy County","Nebraska","69965","33.2"
"Saunders County","Nebraska","59870","41.8"
"Scotts Bluff County","Nebraska","43444","38.9"
"Seward County","Nebraska","59435","38.7"
"Sheridan County","Nebraska","38548","46.5"
"Sherman County","Nebraska","41835","48.6"
"Sioux County","Nebraska","42014","49.9"
"Stanton County","Nebraska","51493","39.5"
"Thayer County","Nebraska","44422","49.5"
"Thomas County","Nebraska","55089","48.4"
"Thurston County","Nebraska","41400","28.6"
"Valley County","Nebraska","40445","47.3"
"Washington County","Nebraska","65409","40.8"
"Wayne County","Nebraska","52147","29.9"
"Webster County","Nebraska","41045","47.6"
"Wheeler County","Nebraska","38807","44.2"
"York County","Nebraska","49633","40.7"
"Churchill County","Nevada","49830","39.2"
"Clark County","Nevada","52873","35.8"
"Douglas County","Nevada","60100","47.9"
"Elko County","Nevada","70238","33.3"
"Esmeralda County","Nevada","30284","47.9"
"Eureka County","Nevada","64632","38.3"
"Humboldt County","Nevada","59472","35.7"
"Lander County","Nevada","72742","37.3"
"Lincoln County","Nevada","40143","35.7"
"Lyon County","Nevada","46137","41.6"
"Mineral County","Nevada","35017","50.1"
"Nye County","Nevada","39876","49.7"
"Pershing County","Nevada","52101","40.4"
"Storey County","Nevada","61573","54.4"
"Washoe County","Nevada","53040","37.2"
"White Pine County","Nevada","48586","40.9"
"Carson City","Nevada","51957","41.9"
"Belknap County","New Hampshire","58654","45.1"
"Carroll County","New Hampshire","50866","49"
"Cheshire County","New Hampshire","55155","41.3"
"Coos County","New Hampshire","41985","47.4"
"Grafton County","New Hampshire","54912","41.4"
"Hillsborough County","New Hampshire","69829","39.5"
"Merrimack County","New Hampshire","65353","41.9"
"Rockingham County","New Hampshire","77348","42.7"
"Strafford County","New Hampshire","58825","36.9"
"Sullivan County","New Hampshire","54463","44.6"
"Atlantic County","New Jersey","54235","40.2"
"Bergen County","New Jersey","83794","41.3"
"Burlington County","New Jersey","78446","40.6"
"Camden County","New Jersey","61683","38"
"Cape May County","New Jersey","56494","47.7"
"Cumberland County","New Jersey","50750","36.7"
"Essex County","New Jersey","55095","36.5"
"Gloucester County","New Jersey","74524","39"
"Hudson County","New Jersey","58442","34.4"
"Hunterdon County","New Jersey","106143","44"
"Mercer County","New Jersey","73480","38.1"
"Middlesex County","New Jersey","79596","37.4"
"Monmouth County","New Jersey","84526","41.7"
"Morris County","New Jersey","98633","41.5"
"Ocean County","New Jersey","61136","42.6"
"Passaic County","New Jersey","57654","36.2"
"Salem County","New Jersey","59718","41.1"
"Somerset County","New Jersey","99020","40.4"
"Sussex County","New Jersey","87335","42.3"
"Union County","New Jersey","68507","37.9"
"Warren County","New Jersey","70912","41.8"
"Bernalillo County","New Mexico","48801","36.1"
"Catron County","New Mexico","39826","57.2"
"Chaves County","New Mexico","39131","34.7"
"Cibola County","New Mexico","37237","37.3"
"Colfax County","New Mexico","37734","47.1"
"Curry County","New Mexico","39871","30.9"
"De Baca County","New Mexico","37660","46.7"
"Doña Ana County","New Mexico","37933","32.2"
"Eddy County","New Mexico","49165","36.9"
"Grant County","New Mexico","37899","46.1"
"Guadalupe County","New Mexico","29071","41.6"
"Harding County","New Mexico","34063","55.5"
"Hidalgo County","New Mexico","34080","39.6"
"Lea County","New Mexico","50694","31.8"
"Lincoln County","New Mexico","43014","49.6"
"Los Alamos County","New Mexico","106686","43.7"
"Luna County","New Mexico","29282","38.7"
"McKinley County","New Mexico","30458","30.5"
"Mora County","New Mexico","28481","46.8"
"Otero County","New Mexico","39263","35.6"
"Quay County","New Mexico","30802","45.9"
"Rio Arriba County","New Mexico","40250","39.5"
"Roosevelt County","New Mexico","38764","29.6"
"Sandoval County","New Mexico","58017","38.5"
"San Juan County","New Mexico","48196","33.2"
"San Miguel County","New Mexico","28275","41.5"
"Santa Fe County","New Mexico","52917","43.4"
"Sierra County","New Mexico","27430","55.4"
"Socorro County","New Mexico","34036","35.6"
"Taos County","New Mexico","32637","45.8"
"Torrance County","New Mexico","31161","42.3"
"Union County","New Mexico","38902","39.9"
"Valencia County","New Mexico","42506","37.9"
"Albany County","New York","59394","38"
"Allegany County","New York","42445","38.2"
"Bronx County","New York","34388","32.9"
"Broome County","New York","45958","40"
"Cattaraugus County","New York","42603","41"
"Cayuga County","New York","51581","41.8"
"Chautauqua County","New York","42429","40.8"
"Chemung County","New York","48804","41.1"
"Chenango County","New York","43941","43.1"
"Clinton County","New York","50282","39.4"
"Columbia County","New York","57336","46"
"Cortland County","New York","47151","35.8"
"Delaware County","New York","44470","45.9"
"Dutchess County","New York","72525","40.6"
"Erie County","New York","50653","40.4"
"Essex County","New York","47380","45.2"
"Franklin County","New York","45667","39.6"
"Fulton County","New York","44276","42.1"
"Genesee County","New York","49922","42"
"Greene County","New York","49655","44.5"
"Hamilton County","New York","51522","51.6"
"Herkimer County","New York","45047","42.6"
"Jefferson County","New York","46484","32"
"Kings County","New York","46085","34.2"
"Lewis County","New York","46840","40.9"
"Livingston County","New York","53518","39.9"
"Madison County","New York","53589","39.8"
"Monroe County","New York","52394","38.4"
"Montgomery County","New York","44156","41"
"Nassau County","New York","97690","41.2"
"New York County","New York","69659","36.5"
"Niagara County","New York","47955","42.1"
"Oneida County","New York","48729","41"
"Onondaga County","New York","54242","38.8"
"Ontario County","New York","56479","42.5"
"Orange County","New York","70458","36.7"
"Orleans County","New York","48502","41.3"
"Oswego County","New York","48051","38.8"
"Otsego County","New York","47765","41.1"
"Putnam County","New York","95117","42"
"Queens County","New York","57001","37.4"
"Rensselaer County","New York","59432","39.9"
"Richmond County","New York","72569","38.8"
"Rockland County","New York","84951","36.4"
"St. Lawrence County","New York","43647","37.5"
"Saratoga County","New York","69826","41.2"
"Schenectady County","New York","56061","39.9"
"Schoharie County","New York","53245","42.8"
"Schuyler County","New York","46976","44.7"
"Seneca County","New York","47618","41.4"
"Steuben County","New York","47476","41.7"
"Suffolk County","New York","87763","40.1"
"Sullivan County","New York","48089","41.7"
"Tioga County","New York","55726","43"
"Tompkins County","New York","51393","29.9"
"Ulster County","New York","58590","42.5"
"Warren County","New York","55904","44.6"
"Washington County","New York","52361","42.4"
"Wayne County","New York","52601","42.3"
"Westchester County","New York","81946","40.2"
"Wyoming County","New York","51100","41.1"
"Yates County","New York","49335","40.5"
"Alamance County","North Carolina","43043","38.8"
"Alexander County","North Carolina","40637","41.1"
"Alleghany County","North Carolina","35170","46.4"
"Anson County","North Carolina","33870","40"
"Ashe County","North Carolina","35951","45.7"
"Avery County","North Carolina","36969","42.5"
"Beaufort County","North Carolina","40429","44.2"
"Bertie County","North Carolina","30768","43.8"
"Bladen County","North Carolina","30164","41.4"
"Brunswick County","North Carolina","46438","48.3"
"Buncombe County","North Carolina","44713","40.8"
"Burke County","North Carolina","37263","41.8"
"Cabarrus County","North Carolina","53551","37"
"Caldwell County","North Carolina","34357","41.5"
"Camden County","North Carolina","56607","40.9"
"Carteret County","North Carolina","46534","45.9"
"Caswell County","North Carolina","35315","43.8"
"Catawba County","North Carolina","44332","40.1"
"Chatham County","North Carolina","57091","44.8"
"Cherokee County","North Carolina","34432","49"
"Chowan County","North Carolina","34420","45.5"
"Clay County","North Carolina","38828","50.1"
"Cleveland County","North Carolina","38989","40.7"
"Columbus County","North Carolina","35761","40.7"
"Craven County","North Carolina","47141","36"
"Cumberland County","North Carolina","45231","30.9"
"Currituck County","North Carolina","57159","41.8"
"Dare County","North Carolina","55481","44"
"Davidson County","North Carolina","43083","40.6"
"Davie County","North Carolina","50139","43.1"
"Duplin County","North Carolina","34433","37.8"
"Durham County","North Carolina","51853","33.7"
"Edgecombe County","North Carolina","33960","40.2"
"Forsyth County","North Carolina","45724","37.5"
"Franklin County","North Carolina","41696","39.6"
"Gaston County","North Carolina","42017","39"
"Gates County","North Carolina","46592","42.4"
"Graham County","North Carolina","33903","42.5"
"Granville County","North Carolina","49852","40.2"
"Greene County","North Carolina","40853","39.1"
"Guilford County","North Carolina","45431","36.6"
"Halifax County","North Carolina","32329","42.1"
"Harnett County","North Carolina","44625","33.5"
"Haywood County","North Carolina","41557","46"
"Henderson County","North Carolina","44815","46"
"Hertford County","North Carolina","33406","41.4"
"Hoke County","North Carolina","45489","31"
"Hyde County","North Carolina","42279","42.4"
"Iredell County","North Carolina","50329","39.4"
"Jackson County","North Carolina","36951","35.8"
"Johnston County","North Carolina","49711","37"
"Jones County","North Carolina","36213","44.4"
"Lee County","North Carolina","44819","37.1"
"Lenoir County","North Carolina","35770","41.1"
"Lincoln County","North Carolina","48940","41.3"
"McDowell County","North Carolina","35297","42.2"
"Macon County","North Carolina","37892","48.9"
"Madison County","North Carolina","38598","43.8"
"Martin County","North Carolina","35111","44.7"
"Mecklenburg County","North Carolina","55444","34.2"
"Mitchell County","North Carolina","37680","45.7"
"Montgomery County","North Carolina","31830","40"
"Moore County","North Carolina","49544","45.1"
"Nash County","North Carolina","43084","40.4"
"New Hanover County","North Carolina","49835","37.6"
"Northampton County","North Carolina","31433","46.1"
"Onslow County","North Carolina","45450","25.8"
"Orange County","North Carolina","55569","33.2"
"Pamlico County","North Carolina","43853","49"
"Pasquotank County","North Carolina","46053","36.6"
"Pender County","North Carolina","44524","41.5"
"Perquimans County","North Carolina","43709","46.7"
"Person County","North Carolina","42317","41.7"
"Pitt County","North Carolina","40718","31.2"
"Polk County","North Carolina","44745","50.1"
"Randolph County","North Carolina","41208","40"
"Richmond County","North Carolina","32384","39"
"Robeson County","North Carolina","29806","34.7"
"Rockingham County","North Carolina","38567","42.5"
"Rowan County","North Carolina","41495","39.5"
"Rutherford County","North Carolina","36334","42.6"
"Sampson County","North Carolina","36496","38.5"
"Scotland County","North Carolina","29592","38.2"
"Stanly County","North Carolina","42518","41.1"
"Stokes County","North Carolina","42703","43.4"
"Surry County","North Carolina","35641","41.6"
"Swain County","North Carolina","36094","40.6"
"Transylvania County","North Carolina","41781","49.7"
"Tyrrell County","North Carolina","34216","42.3"
"Union County","North Carolina","65892","36.6"
"Vance County","North Carolina","34987","38.9"
"Wake County","North Carolina","66006","34.8"
"Warren County","North Carolina","34285","45.1"
"Washington County","North Carolina","34936","44.3"
"Watauga County","North Carolina","34293","28.8"
"Wayne County","North Carolina","41731","36.7"
"Wilkes County","North Carolina","33159","42.9"
"Wilson County","North Carolina","39204","39.1"
"Yadkin County","North Carolina","40371","42.1"
"Yancey County","North Carolina","38579","45.7"
"Adams County","North Dakota","47798","50.2"
"Barnes County","North Dakota","50274","43.8"
"Benson County","North Dakota","36491","31.7"
"Billings County","North Dakota","57083","48.2"
"Bottineau County","North Dakota","51667","47.1"
"Bowman County","North Dakota","56964","45.5"
"Burke County","North Dakota","53693","39.9"
"Burleigh County","North Dakota","61811","36.9"
"Cass County","North Dakota","52590","31.7"
"Cavalier County","North Dakota","55904","50.8"
"Dickey County","North Dakota","47359","42.8"
"Divide County","North Dakota","55057","52.9"
"Dunn County","North Dakota","60500","42.9"
"Eddy County","North Dakota","44250","48.7"
"Emmons County","North Dakota","38477","51.2"
"Foster County","North Dakota","50677","46.1"
"Golden Valley County","North Dakota","36100","42.3"
"Grand Forks County","North Dakota","46745","29.5"
"Grant County","North Dakota","41694","51.1"
"Griggs County","North Dakota","45542","54.3"
"Hettinger County","North Dakota","47743","49"
"Kidder County","North Dakota","50000","48.5"
"LaMoure County","North Dakota","53691","49.4"
"Logan County","North Dakota","49076","49.7"
"McHenry County","North Dakota","45343","45"
"McIntosh County","North Dakota","36066","52.3"
"McKenzie County","North Dakota","64866","35.4"
"McLean County","North Dakota","53565","48.9"
"Mercer County","North Dakota","66534","46.5"
"Morton County","North Dakota","60065","39.3"
"Mountrail County","North Dakota","68722","36"
"Nelson County","North Dakota","49839","51.8"
"Oliver County","North Dakota","71250","46.1"
"Pembina County","North Dakota","49846","47.1"
"Pierce County","North Dakota","42975","48.5"
"Ramsey County","North Dakota","48604","42.2"
"Ransom County","North Dakota","49788","44.5"
"Renville County","North Dakota","60847","44.7"
"Richland County","North Dakota","53759","39.3"
"Rolette County","North Dakota","31336","30.5"
"Sargent County","North Dakota","53381","45.6"
"Sheridan County","North Dakota","43250","53.6"
"Sioux County","North Dakota","36111","26.7"
"Slope County","North Dakota","61667","48.9"
"Stark County","North Dakota","62559","37.2"
"Steele County","North Dakota","55735","46.9"
"Stutsman County","North Dakota","50120","41.8"
"Towner County","North Dakota","55521","46.9"
"Traill County","North Dakota","48767","42.1"
"Walsh County","North Dakota","48592","45.6"
"Ward County","North Dakota","56580","31.9"
"Wells County","North Dakota","44132","51.4"
"Williams County","North Dakota","76210","35.6"
"Adams County","Ohio","35678","40.4"
"Allen County","Ohio","42823","38.1"
"Ashland County","Ohio","46548","39.9"
"Ashtabula County","Ohio","40516","41.4"
"Athens County","Ohio","33823","26.8"
"Auglaize County","Ohio","52239","40.2"
"Belmont County","Ohio","41534","43.5"
"Brown County","Ohio","44341","40.3"
"Butler County","Ohio","56610","36.2"
"Carroll County","Ohio","43779","43.7"
"Champaign County","Ohio","49157","40.3"
"Clark County","Ohio","43136","41"
"Clermont County","Ohio","60365","39"
"Clinton County","Ohio","46048","39"
"Columbiana County","Ohio","42300","42.6"
"Coshocton County","Ohio","41274","41.3"
"Crawford County","Ohio","40783","42.4"
"Cuyahoga County","Ohio","43804","40.4"
"Darke County","Ohio","43425","40.7"
"Defiance County","Ohio","47593","39.2"
"Delaware County","Ohio","89757","37.5"
"Erie County","Ohio","46498","43.6"
"Fairfield County","Ohio","58786","38.7"
"Fayette County","Ohio","37619","40.4"
"Franklin County","Ohio","50877","33.6"
"Fulton County","Ohio","52856","39.6"
"Gallia County","Ohio","39226","40.1"
"Geauga County","Ohio","67663","43.5"
"Greene County","Ohio","58080","37.5"
"Guernsey County","Ohio","38841","41.3"
"Hamilton County","Ohio","48593","37.2"
"Hancock County","Ohio","49589","38.4"
"Hardin County","Ohio","40415","35.1"
"Harrison County","Ohio","39002","44.9"
"Henry County","Ohio","49439","39.8"
"Highland County","Ohio","39091","39.6"
"Hocking County","Ohio","42089","41.9"
"Holmes County","Ohio","45477","29.9"
"Huron County","Ohio","49404","38"
"Jackson County","Ohio","36356","39.4"
"Jefferson County","Ohio","40577","44.1"
"Knox County","Ohio","49750","39.3"
"Lake County","Ohio","56018","42.7"
"Lawrence County","Ohio","41552","40.6"
"Licking County","Ohio","55114","39.4"
"Logan County","Ohio","47542","40"
"Lorain County","Ohio","51816","40.4"
"Lucas County","Ohio","41556","37.4"
"Madison County","Ohio","54956","39.6"
"Mahoning County","Ohio","41058","43.1"
"Marion County","Ohio","42572","40.2"
"Medina County","Ohio","65951","40.9"
"Meigs County","Ohio","35469","41.8"
"Mercer County","Ohio","52535","39.5"
"Miami County","Ohio","52040","40.9"
"Monroe County","Ohio","40573","45.1"
"Montgomery County","Ohio","43401","39.1"
"Morgan County","Ohio","37865","43.6"
"Morrow County","Ohio","51484","40.6"
"Muskingum County","Ohio","40524","39.8"
"Noble County","Ohio","38290","44.4"
"Ottawa County","Ohio","53202","46.7"
"Paulding County","Ohio","44861","40.6"
"Perry County","Ohio","41446","38.8"
"Pickaway County","Ohio","54003","38.6"
"Pike County","Ohio","42165","40.1"
"Portage County","Ohio","52697","36.9"
"Preble County","Ohio","48405","41.1"
"Putnam County","Ohio","61192","39.4"
"Richland County","Ohio","41835","41.2"
"Ross County","Ohio","43264","39.9"
"Sandusky County","Ohio","46140","41.1"
"Scioto County","Ohio","35379","39"
"Seneca County","Ohio","43764","39.2"
"Shelby County","Ohio","50427","38.4"
"Stark County","Ohio","45641","41.5"
"Summit County","Ohio","49669","40.4"
"Trumbull County","Ohio","42880","43.1"
"Tuscarawas County","Ohio","43739","40.8"
"Union County","Ohio","65086","37.1"
"Van Wert County","Ohio","45355","41.1"
"Vinton County","Ohio","36705","39.8"
"Warren County","Ohio","72487","37.9"
"Washington County","Ohio","42834","43"
"Wayne County","Ohio","49135","38.7"
"Williams County","Ohio","43089","41.5"
"Wood County","Ohio","52069","35.1"
"Wyandot County","Ohio","44448","41.4"
"Adair County","Oklahoma","32556","36.7"
"Alfalfa County","Oklahoma","44811","45.7"
"Atoka County","Oklahoma","37012","39.4"
"Beaver County","Oklahoma","51422","41.1"
"Beckham County","Oklahoma","48989","35"
"Blaine County","Oklahoma","44206","40.4"
"Bryan County","Oklahoma","38897","37.1"
"Caddo County","Oklahoma","39267","37.8"
"Canadian County","Oklahoma","63629","35.7"
"Carter County","Oklahoma","41401","38.2"
"Cherokee County","Oklahoma","37260","34.6"
"Choctaw County","Oklahoma","30201","40.7"
"Cimarron County","Oklahoma","38301","44.8"
"Cleveland County","Oklahoma","54989","32.7"
"Coal County","Oklahoma","34867","40.9"
"Comanche County","Oklahoma","46036","31.5"
"Cotton County","Oklahoma","46317","40.2"
"Craig County","Oklahoma","39236","42.4"
"Creek County","Oklahoma","43026","40.2"
"Custer County","Oklahoma","44972","30.6"
"Delaware County","Oklahoma","36588","45.2"
"Dewey County","Oklahoma","46488","42.3"
"Ellis County","Oklahoma","47344","44.6"
"Garfield County","Oklahoma","44530","37"
"Garvin County","Oklahoma","38245","39.8"
"Grady County","Oklahoma","49637","38.2"
"Grant County","Oklahoma","46625","45.3"
"Greer County","Oklahoma","39900","40.7"
"Harmon County","Oklahoma","26688","40.9"
"Harper County","Oklahoma","46117","40"
"Haskell County","Oklahoma","35334","39.7"
"Hughes County","Oklahoma","34619","40"
"Jackson County","Oklahoma","42824","34"
"Jefferson County","Oklahoma","34701","41.9"
"Johnston County","Oklahoma","36192","39.8"
"Kay County","Oklahoma","41012","39"
"Kingfisher County","Oklahoma","54666","38.6"
"Kiowa County","Oklahoma","36281","42.3"
"Latimer County","Oklahoma","40970","39.5"
"Le Flore County","Oklahoma","36542","39.3"
"Lincoln County","Oklahoma","42668","40.6"
"Logan County","Oklahoma","53591","37"
"Love County","Oklahoma","43260","39.8"
"McClain County","Oklahoma","54426","38.3"
"McCurtain County","Oklahoma","31790","38.8"
"McIntosh County","Oklahoma","36096","46.8"
"Major County","Oklahoma","49905","43"
"Marshall County","Oklahoma","37319","43.6"
"Mayes County","Oklahoma","42751","39.4"
"Murray County","Oklahoma","44151","41"
"Muskogee County","Oklahoma","38502","37.7"
"Noble County","Oklahoma","44842","40.5"
"Nowata County","Oklahoma","39430","41.9"
"Okfuskee County","Oklahoma","35170","40.3"
"Oklahoma County","Oklahoma","45215","34.2"
"Okmulgee County","Oklahoma","39156","39"
"Osage County","Oklahoma","44195","41.6"
"Ottawa County","Oklahoma","36473","38.7"
"Pawnee County","Oklahoma","44375","41.7"
"Payne County","Oklahoma","36812","27"
"Pittsburg County","Oklahoma","41252","41.2"
"Pontotoc County","Oklahoma","41881","35.3"
"Pottawatomie County","Oklahoma","42764","37.4"
"Pushmataha County","Oklahoma","29897","44.5"
"Roger Mills County","Oklahoma","53885","41.6"
"Rogers County","Oklahoma","58525","38.6"
"Seminole County","Oklahoma","33819","39.3"
"Sequoyah County","Oklahoma","35742","39"
"Stephens County","Oklahoma","43885","40.1"
"Texas County","Oklahoma","49901","31.3"
"Tillman County","Oklahoma","36354","40.4"
"Tulsa County","Oklahoma","48181","35.3"
"Wagoner County","Oklahoma","55723","38"
"Washington County","Oklahoma","48687","40.5"
"Washita County","Oklahoma","46686","39.3"
